[01/Feb/2022 02:10:16] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\wordhunt\templates with glob **/*.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\learn\templates with glob **/*.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\user_profile\templates with glob **/*.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir C:\Users\Toshiro\miniconda3\envs\wordhunt_env\lib\site-packages\crispy_forms\templates with glob **/*.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\main\templates with glob **/*.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\register\templates with glob **/*.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\locale with glob **/*.mo.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\register\locale with glob **/*.mo.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\main\locale with glob **/*.mo.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\learn\locale with glob **/*.mo.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir G:\WordHunt\wordhunt\user_profile\locale with glob **/*.mo.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:287] Watching dir C:\Users\Toshiro\miniconda3\envs\wordhunt_env\lib\site-packages\crispy_forms\locale with glob **/*.mo.
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\idna\core.py first seen with mtime 1643452068.06144
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1643361093.3696206
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1643361093.2476213
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\functools.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1643361093.1576195
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\DLLs\_socket.pyd first seen with mtime 1636572112.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\charset_normalizer\models.py first seen with mtime 1643445999.4378605
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\stringprep.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\cgi.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\contextlib.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\crispy_forms\templatetags\crispy_forms_field.py first seen with mtime 1643361982.9250484
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1643361090.6926184
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1643361093.1416237
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1643361093.4596224
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\DLLs\_lzma.pyd first seen with mtime 1636572111.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\chardet\gb2312freq.py first seen with mtime 1643452068.399443
